sample, time, clock, pulses, frequency
0, 49920830, 125000328, 246549, 246548.8
1, 49921832, 121638990, 239919, 246548.6
2, 49921865, 18928, 32, 211327.5
3, 49921901, 125230, 247, 246546.8
4, 49921941, 18828, 31, 205810.8
5, 49921985, 125230, 247, 246546.8
6, 49922063, 22698, 31, 170720.2
7, 49922096, 125230, 247, 246546.8
8, 49922136, 18542, 30, 202243.9
9, 49922183, 125230, 247, 246546.8
10, 49922239, 125230, 247, 246546.8
11, 49922304, 125230, 247, 246546.8
12, 49922378, 125230, 247, 246546.8
13, 49922509, 125230, 247, 246546.8
14, 49922631, 125230, 247, 246546.8
15, 49922761, 125230, 247, 246546.8
16, 49922831, 125230, 247, 246546.8
17, 49922895, 125230, 247, 246546.8
18, 49922980, 125230, 247, 246546.8
19, 49923056, 125230, 247, 246546.8
20, 49923124, 125230, 247, 246546.8
21, 49923209, 125230, 247, 246546.8
22, 49923281, 125230, 247, 246546.8
23, 49923354, 125230, 247, 246546.8
24, 49923421, 125230, 247, 246546.8
25, 49923492, 125230, 247, 246546.8
26, 49923569, 125230, 247, 246546.8
27, 49923649, 125230, 247, 246546.8
28, 49923726, 125230, 247, 246546.8
29, 49923800, 125230, 247, 246546.8
30, 49923874, 125230, 247, 246546.8
31, 49923993, 125352, 50, 49859.68
32, 49924058, 125352, 50, 49859.68
33, 49924124, 125352, 50, 49859.68
34, 49924205, 125352, 50, 49859.68
35, 49924281, 125352, 50, 49859.68
36, 49924352, 125352, 50, 49859.68
37, 49924427, 125352, 50, 49859.68
38, 49924493, 125352, 50, 49859.68
39, 49924561, 125352, 50, 49859.68
40, 49924630, 125352, 50, 49859.68
41, 49924701, 125352, 50, 49859.68
42, 49924791, 125352, 50, 49859.68
43, 49924874, 125352, 50, 49859.68
44, 49924950, 125352, 50, 49859.68
45, 49925036, 125352, 50, 49859.68
46, 49925111, 125352, 50, 49859.68
47, 49925233, 125352, 50, 49859.68
48, 49925301, 125352, 50, 49859.68
49, 49925365, 125352, 50, 49859.68
50, 49925441, 125352, 50, 49859.68
51, 49925514, 125352, 50, 49859.68
52, 49925591, 125352, 50, 49859.68
53, 49925662, 125352, 50, 49859.68
54, 49925734, 125352, 50, 49859.68
55, 49925806, 125352, 50, 49859.68
56, 49925883, 125352, 50, 49859.68
57, 49925960, 125352, 50, 49859.68
58, 49926042, 125352, 50, 49859.68
59, 49926121, 125352, 50, 49859.68
60, 49926199, 125352, 50, 49859.68
61, 49926277, 125352, 50, 49859.68
62, 49926356, 125352, 50, 49859.68
63, 49926477, 125352, 50, 49859.68
64, 49926546, 125352, 50, 49859.68
65, 49926621, 125352, 50, 49859.68
66, 49926692, 125352, 50, 49859.68
67, 49926769, 125352, 50, 49859.68
68, 49926849, 125352, 50, 49859.68
69, 49926931, 125352, 50, 49859.68
70, 49927002, 125352, 50, 49859.68
71, 49927077, 125352, 50, 49859.68
72, 49927157, 125352, 50, 49859.68
73, 49927233, 125352, 50, 49859.68
74, 49927311, 125352, 50, 49859.68
75, 49927398, 125352, 50, 49859.68
76, 49927493, 125352, 50, 49859.68
77, 49927579, 125352, 50, 49859.68
78, 49927660, 125352, 50, 49859.68
79, 49927785, 125352, 50, 49859.68
80, 49927858, 125352, 50, 49859.68
81, 49927938, 125352, 50, 49859.68
82, 49928019, 125352, 50, 49859.68
83, 49928095, 125352, 50, 49859.68
84, 49928174, 125352, 50, 49859.68
85, 49928254, 125352, 50, 49859.68
86, 49928334, 125352, 50, 49859.68
87, 49928415, 125352, 50, 49859.68
88, 49928500, 125352, 50, 49859.68
89, 49928577, 125352, 50, 49859.68
90, 49928665, 125352, 50, 49859.68
91, 49928748, 125352, 50, 49859.68
92, 49928836, 125352, 50, 49859.68
93, 49928927, 125352, 50, 49859.68
94, 49929013, 125702, 100, 99441.7
95, 49929136, 125702, 100, 99441.7
96, 49929215, 125702, 100, 99441.7
97, 49929297, 125702, 100, 99441.7
98, 49929380, 125702, 100, 99441.7
99, 49929457, 125702, 100, 99441.7
100, 49929545, 125702, 100, 99441.7
101, 49929634, 125702, 100, 99441.7
102, 49929717, 125702, 100, 99441.7
103, 49929797, 125702, 100, 99441.7
104, 49929882, 125702, 100, 99441.7
105, 49929961, 125702, 100, 99441.7
106, 49930069, 125700, 100, 99443.28
107, 49930168, 125702, 100, 99441.7
108, 49930267, 125702, 100, 99441.7
109, 49930359, 125702, 100, 99441.7
110, 49930444, 125702, 100, 99441.7
111, 49930571, 125702, 100, 99441.7
112, 49930684, 125702, 100, 99441.7
113, 49930747, 125702, 100, 99441.7
114, 49930810, 125702, 100, 99441.7
115, 49930881, 125702, 100, 99441.7
116, 49930948, 125702, 100, 99441.7
117, 49931006, 125702, 100, 99441.7
118, 49931070, 125702, 100, 99441.7
119, 49931136, 125702, 100, 99441.7
120, 49931201, 125702, 100, 99441.7
121, 49931266, 125702, 100, 99441.7
122, 49931342, 125702, 100, 99441.7
123, 49931410, 125702, 100, 99441.7
124, 49931484, 125702, 100, 99441.7
125, 49931547, 125702, 100, 99441.7
126, 49931616, 125702, 100, 99441.7
127, 49931729, 125700, 100, 99443.28
128, 49931789, 125702, 100, 99441.7
129, 49931855, 125702, 100, 99441.7
130, 49931922, 125702, 100, 99441.7
131, 49931998, 125702, 100, 99441.7
132, 49932069, 125702, 100, 99441.7
133, 49932135, 125702, 100, 99441.7
134, 49932200, 125702, 100, 99441.7
135, 49932272, 125700, 100, 99443.28
136, 49932344, 125702, 100, 99441.7
137, 49932418, 125702, 100, 99441.7
138, 49932490, 125702, 100, 99441.7
139, 49932575, 125702, 100, 99441.7
140, 49932656, 125702, 100, 99441.7
141, 49932730, 125702, 100, 99441.7
142, 49932799, 125702, 100, 99441.7
143, 49932917, 125702, 100, 99441.7
144, 49932981, 125702, 100, 99441.7
145, 49933051, 125702, 100, 99441.7
146, 49933121, 125702, 100, 99441.7
147, 49933188, 125702, 100, 99441.7
148, 49933251, 125702, 100, 99441.7
149, 49933317, 125702, 100, 99441.7
150, 49933388, 125702, 100, 99441.7
151, 49933460, 125702, 100, 99441.7
152, 49933542, 125702, 100, 99441.7
153, 49933623, 125702, 100, 99441.7
