sample, time, clock, pulses, frequency
0, 50000132, 125352, 50, 49859.68
1, 50000164, 125352, 50, 49859.68
2, 50000198, 125352, 50, 49859.68
3, 50000283, 125352, 50, 49859.68
4, 50000312, 124668, 50, 50133.24
5, 50000345, 125352, 50, 49859.68
6, 50000385, 125352, 50, 49859.68
7, 50000430, 125352, 50, 49859.68
8, 50000481, 125350, 50, 49860.47
9, 50000541, 125352, 50, 49859.68
10, 50000608, 125352, 50, 49859.68
11, 50000683, 125352, 50, 49859.68
12, 50000771, 125352, 50, 49859.68
13, 50000813, 125352, 50, 49859.68
14, 50000894, 125352, 50, 49859.68
15, 50000983, 125352, 50, 49859.68
16, 50001067, 125352, 50, 49859.68
17, 50001158, 125352, 50, 49859.68
18, 50001237, 125352, 50, 49859.68
19, 50001321, 125352, 50, 49859.68
20, 50001408, 125352, 50, 49859.68
21, 50001494, 125352, 50, 49859.68
22, 50001584, 125352, 50, 49859.68
23, 50001674, 125352, 50, 49859.68
24, 50001808, 125352, 50, 49859.68
25, 50001877, 125352, 50, 49859.68
26, 50001943, 125352, 50, 49859.68
27, 50002007, 125352, 50, 49859.68
28, 50002078, 125352, 50, 49859.68
29, 50002150, 125352, 50, 49859.68
30, 50002225, 125352, 50, 49859.68
31, 50002300, 125352, 50, 49859.68
32, 50002382, 125352, 50, 49859.68
33, 50002465, 125352, 50, 49859.68
34, 50002538, 125352, 50, 49859.68
35, 50002605, 125352, 50, 49859.68
36, 50002679, 125352, 50, 49859.68
37, 50002752, 125352, 50, 49859.68
38, 50002830, 125352, 50, 49859.68
39, 50002951, 125352, 50, 49859.68
40, 50003015, 125352, 50, 49859.68
41, 50003081, 125352, 50, 49859.68
42, 50003148, 125352, 50, 49859.68
43, 50003219, 125352, 50, 49859.68
44, 50003291, 125352, 50, 49859.68
45, 50003364, 125352, 50, 49859.68
46, 50003441, 125352, 50, 49859.68
47, 50003512, 125352, 50, 49859.68
48, 50003589, 125352, 50, 49859.68
49, 50003663, 125352, 50, 49859.68
50, 50003742, 125352, 50, 49859.68
51, 50003823, 125352, 50, 49859.68
52, 50003907, 126228, 31, 30698.47
53, 50003987, 125702, 100, 99441.7
54, 50004113, 125702, 100, 99441.7
55, 50004182, 125702, 100, 99441.7
56, 50004249, 125702, 100, 99441.7
57, 50004325, 125702, 100, 99441.7
58, 50004400, 125702, 100, 99441.7
59, 50004479, 125702, 100, 99441.7
60, 50004554, 125702, 100, 99441.7
61, 50004626, 125702, 100, 99441.7
62, 50004697, 125702, 100, 99441.7
63, 50004772, 125700, 100, 99443.28
64, 50004852, 125702, 100, 99441.7
65, 50004931, 125702, 100, 99441.7
66, 50005013, 125702, 100, 99441.7
67, 50005093, 125702, 100, 99441.7
68, 50005175, 125702, 100, 99441.7
69, 50005300, 125702, 100, 99441.7
70, 50005370, 125702, 100, 99441.7
71, 50005444, 125702, 100, 99441.7
72, 50005522, 125702, 100, 99441.7
73, 50005612, 125702, 100, 99441.7
74, 50005689, 125702, 100, 99441.7
75, 50005771, 125702, 100, 99441.7
76, 50005866, 125702, 100, 99441.7
77, 50005946, 125702, 100, 99441.7
78, 50006024, 125702, 100, 99441.7
79, 50006099, 125702, 100, 99441.7
80, 50006181, 125702, 100, 99441.7
81, 50006270, 125702, 100, 99441.7
82, 50006356, 125702, 100, 99441.7
83, 50006437, 125702, 100, 99441.7
84, 50006578, 125702, 100, 99441.7
85, 50006652, 125702, 100, 99441.7
86, 50006729, 125702, 100, 99441.7
87, 50006804, 125702, 100, 99441.7
88, 50006885, 125702, 100, 99441.7
89, 50006970, 125702, 100, 99441.7
90, 50007056, 125702, 100, 99441.7
91, 50007144, 125702, 100, 99441.7
92, 50007233, 125702, 100, 99441.7
93, 50007309, 125702, 100, 99441.7
94, 50007388, 125702, 100, 99441.7
