sample, time, clock, pulses, frequency
0, 1259184, 125001114, 99444, 99443.28
1, 1260185, 121227420, 96441, 99442.39
2, 1260221, 17672, 12, 84880.18
3, 1260309, 125702, 100, 99441.7
4, 1260339, 17204, 12, 87189.17
5, 1260373, 125230, 247, 246546.8
6, 1260413, 18316, 31, 211564.0
7, 1260459, 125230, 247, 246546.8
8, 1260512, 18190, 31, 213029.5
9, 1260572, 125230, 247, 246546.8
10, 1260640, 125230, 247, 246546.8
11, 1260716, 125230, 247, 246546.8
12, 1260804, 125230, 247, 246546.8
13, 1260847, 125230, 247, 246546.8
14, 1260934, 125230, 247, 246546.8
15, 1261017, 125230, 247, 246546.8
16, 1261094, 125230, 247, 246546.8
17, 1261172, 125230, 247, 246546.8
18, 1261252, 125232, 247, 246542.8
19, 1261333, 125230, 247, 246546.8
20, 1261424, 125230, 247, 246546.8
21, 1261511, 125230, 247, 246546.8
22, 1261599, 125230, 247, 246546.8
23, 1261723, 125230, 247, 246546.8
24, 1261786, 125230, 247, 246546.8
25, 1261845, 125230, 247, 246546.8
26, 1261906, 125230, 247, 246546.8
27, 1261974, 125230, 247, 246546.8
28, 1262045, 125230, 247, 246546.8
29, 1262116, 125230, 247, 246546.8
30, 1262187, 125230, 247, 246546.8
31, 1262256, 125230, 247, 246546.8
32, 1262324, 125230, 247, 246546.8
33, 1262395, 125230, 247, 246546.8
34, 1262467, 125230, 247, 246546.8
35, 1262542, 125230, 247, 246546.8
36, 1262616, 125230, 247, 246546.8
37, 1262696, 125230, 247, 246546.8
38, 1262817, 125230, 247, 246546.8
39, 1262886, 125230, 247, 246546.8
40, 1262948, 125230, 247, 246546.8
41, 1263014, 125230, 247, 246546.8
42, 1263079, 125230, 247, 246546.8
43, 1263146, 125230, 247, 246546.8
44, 1263214, 125230, 247, 246546.8
45, 1263290, 125230, 247, 246546.8
46, 1263364, 125230, 247, 246546.8
47, 1263434, 125230, 247, 246546.8
48, 1263506, 125230, 247, 246546.8
49, 1263578, 125232, 247, 246542.8
50, 1263651, 125230, 247, 246546.8
51, 1263731, 125230, 247, 246546.8
52, 1263809, 125230, 247, 246546.8
53, 1263939, 125230, 247, 246546.8
54, 1264011, 125230, 247, 246546.8
55, 1264079, 125230, 247, 246546.8
56, 1264153, 125230, 247, 246546.8
57, 1264228, 125230, 247, 246546.8
58, 1264300, 125230, 247, 246546.8
59, 1264379, 125230, 247, 246546.8
60, 1264458, 125230, 247, 246546.8
61, 1264545, 125230, 247, 246546.8
62, 1264619, 125230, 247, 246546.8
63, 1264698, 125230, 247, 246546.8
64, 1264773, 125230, 247, 246546.8
65, 1264855, 125230, 247, 246546.8
66, 1264938, 125230, 247, 246546.8
67, 1265023, 125230, 247, 246546.8
68, 1265156, 125230, 247, 246546.8
69, 1265231, 125230, 247, 246546.8
70, 1265309, 125230, 247, 246546.8
71, 1265386, 125230, 247, 246546.8
72, 1265460, 125230, 247, 246546.8
73, 1265536, 125230, 247, 246546.8
74, 1265631, 125352, 50, 49859.68
75, 1265716, 125352, 50, 49859.68
76, 1265797, 125352, 50, 49859.68
77, 1265899, 125352, 50, 49859.68
78, 1265983, 125352, 50, 49859.68
79, 1266064, 125352, 50, 49859.68
80, 1266144, 125352, 50, 49859.68
81, 1266226, 125352, 50, 49859.68
82, 1266312, 125352, 50, 49859.68
83, 1266445, 125352, 50, 49859.68
84, 1266521, 125352, 50, 49859.68
85, 1266602, 125352, 50, 49859.68
86, 1266676, 125352, 50, 49859.68
87, 1266764, 125352, 50, 49859.68
88, 1266844, 125352, 50, 49859.68
89, 1266928, 125352, 50, 49859.68
90, 1267007, 125352, 50, 49859.68
91, 1267090, 125352, 50, 49859.68
92, 1267166, 125352, 50, 49859.68
93, 1267246, 125352, 50, 49859.68
94, 1267337, 125352, 50, 49859.68
95, 1267426, 125352, 50, 49859.68
96, 1267511, 125352, 50, 49859.68
97, 1267604, 125352, 50, 49859.68
98, 1267735, 125352, 50, 49859.68
99, 1267812, 125352, 50, 49859.68
100, 1267892, 125352, 50, 49859.68
101, 1267966, 125352, 50, 49859.68
102, 1268052, 125352, 50, 49859.68
103, 1268131, 125352, 50, 49859.68
104, 1268215, 125352, 50, 49859.68
105, 1268299, 125352, 50, 49859.68
106, 1268379, 125352, 50, 49859.68
107, 1268461, 125352, 50, 49859.68
108, 1268545, 125352, 50, 49859.68
109, 1268633, 125352, 50, 49859.68
110, 1268722, 125352, 50, 49859.68
111, 1268806, 125352, 50, 49859.68
112, 1268893, 125352, 50, 49859.68
113, 1269031, 125352, 50, 49859.68
114, 1269150, 125352, 50, 49859.68
115, 1269208, 125352, 50, 49859.68
116, 1269273, 125352, 50, 49859.68
117, 1269334, 125352, 50, 49859.68
118, 1269401, 125352, 50, 49859.68
119, 1269468, 125352, 50, 49859.68
120, 1269537, 125352, 50, 49859.68
121, 1269597, 125352, 50, 49859.68
122, 1269661, 125352, 50, 49859.68
123, 1269727, 125352, 50, 49859.68
124, 1269789, 125352, 50, 49859.68
125, 1269860, 125352, 50, 49859.68
126, 1269933, 125352, 50, 49859.68
127, 1270009, 125352, 50, 49859.68
128, 1270125, 125352, 50, 49859.68
129, 1270185, 125352, 50, 49859.68
130, 1270247, 125352, 50, 49859.68
131, 1270310, 125352, 50, 49859.68
132, 1270379, 125352, 50, 49859.68
133, 1270446, 125352, 50, 49859.68
134, 1270516, 125352, 50, 49859.68
135, 1270585, 125702, 100, 99441.7
136, 1270654, 125702, 100, 99441.7
137, 1270720, 125702, 100, 99441.7
138, 1270790, 125702, 100, 99441.7
139, 1270860, 125702, 100, 99441.7
140, 1270927, 125702, 100, 99441.7
141, 1271001, 125702, 100, 99441.7
142, 1271072, 125702, 100, 99441.7
143, 1271202, 125702, 100, 99441.7
144, 1271273, 125702, 100, 99441.7
145, 1271338, 125702, 100, 99441.7
146, 1271403, 125702, 100, 99441.7
147, 1271468, 125702, 100, 99441.7
148, 1271543, 125702, 100, 99441.7
149, 1271610, 125702, 100, 99441.7
150, 1271685, 125702, 100, 99441.7
151, 1271754, 125702, 100, 99441.7
152, 1271823, 125702, 100, 99441.7
153, 1271896, 125702, 100, 99441.7
154, 1271965, 125702, 100, 99441.7
155, 1272070, 125702, 100, 99441.7
156, 1272154, 125702, 100, 99441.7
157, 1272238, 125702, 100, 99441.7
158, 1272363, 125702, 100, 99441.7
159, 1272433, 125702, 100, 99441.7
160, 1272495, 125702, 100, 99441.7
161, 1272560, 125702, 100, 99441.7
162, 1272623, 125702, 100, 99441.7
163, 1272696, 125702, 100, 99441.7
164, 1272769, 125702, 100, 99441.7
165, 1272848, 125702, 100, 99441.7
166, 1272925, 125702, 100, 99441.7
167, 1272992, 125702, 100, 99441.7
168, 1273065, 125702, 100, 99441.7
169, 1273139, 125702, 100, 99441.7
170, 1273210, 125702, 100, 99441.7
171, 1273287, 125702, 100, 99441.7
172, 1273373, 125702, 100, 99441.7
173, 1273507, 125702, 100, 99441.7
174, 1273575, 125702, 100, 99441.7
175, 1273646, 125702, 100, 99441.7
