sample, time, clock, pulses, frequency
0, 1285152, 125352, 50, 49859.68
1, 1285185, 125352, 50, 49859.68
2, 1285219, 125352, 50, 49859.68
3, 1285257, 125352, 50, 49859.68
4, 1285346, 125456, 50, 49818.34
5, 1285377, 125352, 50, 49859.68
6, 1285413, 125352, 50, 49859.68
7, 1285455, 125352, 50, 49859.68
8, 1285504, 125702, 100, 99441.7
9, 1285560, 125702, 100, 99441.7
10, 1285623, 125702, 100, 99441.7
11, 1285695, 125702, 100, 99441.7
12, 1285783, 125702, 100, 99441.7
13, 1285825, 125702, 100, 99441.7
14, 1285909, 125702, 100, 99441.7
15, 1285994, 125702, 100, 99441.7
16, 1286075, 125702, 100, 99441.7
17, 1286158, 125702, 100, 99441.7
18, 1286244, 125702, 100, 99441.7
19, 1286331, 125702, 100, 99441.7
20, 1286414, 125702, 100, 99441.7
21, 1286500, 125702, 100, 99441.7
22, 1286597, 125702, 100, 99441.7
23, 1286694, 125702, 100, 99441.7
24, 1286823, 125702, 100, 99441.7
25, 1286884, 125702, 100, 99441.7
26, 1286944, 125702, 100, 99441.7
27, 1287014, 125702, 100, 99441.7
28, 1287082, 125702, 100, 99441.7
29, 1287152, 125702, 100, 99441.7
30, 1287220, 125702, 100, 99441.7
31, 1287286, 125702, 100, 99441.7
32, 1287353, 125702, 100, 99441.7
33, 1287421, 125702, 100, 99441.7
34, 1287496, 125702, 100, 99441.7
35, 1287568, 125702, 100, 99441.7
36, 1287640, 125702, 100, 99441.7
37, 1287720, 125702, 100, 99441.7
38, 1287796, 125702, 100, 99441.7
39, 1287913, 125702, 100, 99441.7
40, 1287974, 125702, 100, 99441.7
41, 1288040, 125702, 100, 99441.7
42, 1288107, 125702, 100, 99441.7
43, 1288177, 125702, 100, 99441.7
44, 1288249, 125702, 100, 99441.7
45, 1288320, 125702, 100, 99441.7
46, 1288386, 125702, 100, 99441.7
47, 1288454, 125702, 100, 99441.7
48, 1288524, 125702, 100, 99441.7
49, 1288602, 125702, 100, 99441.7
50, 1288680, 125702, 100, 99441.7
51, 1288759, 125702, 100, 99441.7
52, 1288836, 125702, 100, 99441.7
53, 1288913, 125702, 100, 99441.7
54, 1289035, 125702, 100, 99441.7
55, 1289103, 125702, 100, 99441.7
56, 1289172, 125702, 100, 99441.7
57, 1289242, 125702, 100, 99441.7
58, 1289318, 125702, 100, 99441.7
59, 1289393, 125702, 100, 99441.7
60, 1289461, 125702, 100, 99441.7
61, 1289533, 125702, 100, 99441.7
62, 1289611, 125702, 100, 99441.7
63, 1289689, 125702, 100, 99441.7
64, 1289765, 125702, 100, 99441.7
65, 1289842, 125702, 100, 99441.7
66, 1289921, 125702, 100, 99441.7
67, 1289997, 125702, 100, 99441.7
68, 1290071, 125702, 100, 99441.7
69, 1290191, 125702, 100, 99441.7
70, 1290261, 125702, 100, 99441.7
71, 1290331, 125702, 100, 99441.7
72, 1290410, 125702, 100, 99441.7
73, 1290487, 125702, 100, 99441.7
74, 1290566, 125702, 100, 99441.7
75, 1290650, 125230, 247, 246546.8
76, 1290729, 125230, 247, 246546.8
77, 1290801, 125230, 247, 246546.8
78, 1290876, 125230, 247, 246546.8
79, 1290956, 125230, 247, 246546.8
80, 1291038, 125230, 247, 246546.8
81, 1291121, 125230, 247, 246546.8
82, 1291206, 125230, 247, 246546.8
83, 1291290, 125230, 247, 246546.8
84, 1291422, 125230, 247, 246546.8
85, 1291497, 125230, 247, 246546.8
86, 1291570, 125230, 247, 246546.8
87, 1291653, 125230, 247, 246546.8
88, 1291732, 125230, 247, 246546.8
89, 1291819, 125230, 247, 246546.8
90, 1291898, 125230, 247, 246546.8
91, 1291981, 125230, 247, 246546.8
92, 1292058, 125230, 247, 246546.8
93, 1292139, 125230, 247, 246546.8
94, 1292217, 125230, 247, 246546.8
95, 1292297, 125230, 247, 246546.8
96, 1292382, 125230, 247, 246546.8
97, 1292469, 125230, 247, 246546.8
98, 1292557, 125230, 247, 246546.8
99, 1292687, 125230, 247, 246546.8
100, 1292762, 125230, 247, 246546.8
101, 1292846, 125230, 247, 246546.8
102, 1292925, 125230, 247, 246546.8
103, 1293011, 125230, 247, 246546.8
104, 1293093, 125230, 247, 246546.8
105, 1293176, 125230, 247, 246546.8
106, 1293262, 125230, 247, 246546.8
107, 1293341, 125230, 247, 246546.8
108, 1293427, 125230, 247, 246546.8
109, 1293514, 125230, 247, 246546.8
110, 1293600, 125230, 247, 246546.8
111, 1293689, 125230, 247, 246546.8
112, 1293779, 125230, 247, 246546.8
113, 1293878, 125230, 247, 246546.8
114, 1294015, 125230, 247, 246546.8
115, 1294132, 125230, 247, 246546.8
116, 1294195, 125230, 247, 246546.8
117, 1294262, 125230, 247, 246546.8
118, 1294329, 125230, 247, 246546.8
119, 1294398, 125230, 247, 246546.8
120, 1294467, 125230, 247, 246546.8
121, 1294534, 125230, 247, 246546.8
122, 1294602, 125230, 247, 246546.8
123, 1294667, 125230, 247, 246546.8
124, 1294735, 125230, 247, 246546.8
125, 1294819, 125230, 247, 246546.8
126, 1294896, 125230, 247, 246546.8
127, 1294971, 125230, 247, 246546.8
128, 1295055, 125230, 247, 246546.8
129, 1295176, 125230, 247, 246546.8
130, 1295239, 125230, 247, 246546.8
131, 1295302, 125230, 247, 246546.8
132, 1295366, 125230, 247, 246546.8
133, 1295433, 125230, 247, 246546.8
134, 1295499, 125230, 247, 246546.8
135, 1295567, 125352, 50, 49859.68
136, 1295634, 125352, 50, 49859.68
137, 1295700, 125352, 50, 49859.68
138, 1295775, 125352, 50, 49859.68
139, 1295846, 125352, 50, 49859.68
140, 1295920, 125352, 50, 49859.68
141, 1295987, 125352, 50, 49859.68
142, 1296059, 125352, 50, 49859.68
143, 1296127, 125352, 50, 49859.68
