sample, time, clock, pulses, frequency
0, 1300794, 125352, 50, 49859.68
1, 1300820, 125352, 50, 49859.68
2, 1300849, 125352, 50, 49859.68
3, 1300881, 125352, 50, 49859.68
4, 1300917, 124250, 76, 76458.88
5, 1300957, 125702, 100, 99441.7
6, 1301002, 125702, 100, 99441.7
7, 1301053, 125702, 100, 99441.7
8, 1301111, 125702, 100, 99441.7
9, 1301175, 125702, 100, 99441.7
10, 1301280, 125702, 100, 99441.7
11, 1301320, 125702, 100, 99441.7
12, 1301369, 125702, 100, 99441.7
13, 1301427, 125702, 100, 99441.7
14, 1301530, 125702, 100, 99441.7
15, 1301630, 125702, 100, 99441.7
16, 1301740, 125702, 100, 99441.7
17, 1301839, 125702, 100, 99441.7
18, 1301940, 125702, 100, 99441.7
19, 1302041, 125702, 100, 99441.7
20, 1302138, 125702, 100, 99441.7
21, 1302269, 125702, 100, 99441.7
22, 1302332, 125702, 100, 99441.7
23, 1302400, 125702, 100, 99441.7
24, 1302466, 125702, 100, 99441.7
25, 1302528, 125702, 100, 99441.7
26, 1302593, 125702, 100, 99441.7
27, 1302659, 125702, 100, 99441.7
28, 1302731, 125702, 100, 99441.7
29, 1302805, 125702, 100, 99441.7
30, 1302874, 125702, 100, 99441.7
31, 1302946, 125702, 100, 99441.7
32, 1303015, 125702, 100, 99441.7
33, 1303090, 125702, 100, 99441.7
34, 1303169, 125702, 100, 99441.7
35, 1303246, 125702, 100, 99441.7
36, 1303375, 125702, 100, 99441.7
37, 1303446, 125702, 100, 99441.7
38, 1303517, 125702, 100, 99441.7
39, 1303590, 125702, 100, 99441.7
40, 1303654, 125702, 100, 99441.7
41, 1303724, 125702, 100, 99441.7
42, 1303794, 125702, 100, 99441.7
43, 1303860, 125702, 100, 99441.7
44, 1303936, 125702, 100, 99441.7
45, 1304013, 125702, 100, 99441.7
46, 1304093, 125702, 100, 99441.7
47, 1304168, 125702, 100, 99441.7
48, 1304241, 125702, 100, 99441.7
49, 1304314, 125702, 100, 99441.7
50, 1304390, 125702, 100, 99441.7
51, 1304523, 125702, 100, 99441.7
52, 1304592, 125702, 100, 99441.7
53, 1304667, 125702, 100, 99441.7
54, 1304737, 125702, 100, 99441.7
55, 1304807, 125702, 100, 99441.7
56, 1304877, 125702, 100, 99441.7
57, 1304950, 125702, 100, 99441.7
58, 1305023, 125702, 100, 99441.7
59, 1305093, 125702, 100, 99441.7
60, 1305174, 125702, 100, 99441.7
61, 1305249, 125702, 100, 99441.7
