sample, time, clock, pulses, frequency
0, 1314678, 125352, 50, 49859.68
1, 1314710, 125352, 50, 49859.68
2, 1314744, 125352, 50, 49859.68
3, 1314781, 125352, 50, 49859.68
4, 1314822, 124518, 50, 50193.63
5, 1314867, 125352, 50, 49859.68
6, 1314966, 125352, 50, 49859.68
7, 1315002, 125352, 50, 49859.68
8, 1315044, 125352, 50, 49859.68
9, 1315093, 125352, 50, 49859.68
10, 1315149, 125352, 50, 49859.68
11, 1315215, 125352, 50, 49859.68
12, 1315289, 125352, 50, 49859.68
13, 1315396, 125352, 50, 49859.68
14, 1315481, 125352, 50, 49859.68
15, 1315570, 125352, 50, 49859.68
16, 1315643, 125352, 50, 49859.68
17, 1315713, 125702, 100, 99441.7
18, 1315792, 125702, 100, 99441.7
19, 1315867, 125702, 100, 99441.7
20, 1315945, 125702, 100, 99441.7
21, 1316028, 125702, 100, 99441.7
22, 1316107, 125702, 100, 99441.7
23, 1316186, 125702, 100, 99441.7
24, 1316262, 125702, 100, 99441.7
25, 1316341, 125702, 100, 99441.7
26, 1316472, 125702, 100, 99441.7
27, 1316538, 125702, 100, 99441.7
28, 1316609, 125702, 100, 99441.7
29, 1316676, 125702, 100, 99441.7
30, 1316749, 125702, 100, 99441.7
31, 1316816, 125702, 100, 99441.7
32, 1316889, 125702, 100, 99441.7
33, 1316966, 125702, 100, 99441.7
34, 1317042, 125702, 100, 99441.7
35, 1317116, 125702, 100, 99441.7
36, 1317184, 125702, 100, 99441.7
37, 1317255, 125702, 100, 99441.7
38, 1317328, 125702, 100, 99441.7
39, 1317399, 125702, 100, 99441.7
40, 1317478, 125702, 100, 99441.7
41, 1317617, 125702, 100, 99441.7
42, 1317687, 125702, 100, 99441.7
43, 1317757, 125702, 100, 99441.7
44, 1317823, 125702, 100, 99441.7
45, 1317891, 125702, 100, 99441.7
46, 1317960, 125702, 100, 99441.7
47, 1318035, 125702, 100, 99441.7
48, 1318110, 125702, 100, 99441.7
49, 1318187, 125702, 100, 99441.7
50, 1318264, 125702, 100, 99441.7
51, 1318342, 125702, 100, 99441.7
52, 1318415, 125702, 100, 99441.7
53, 1318488, 125702, 100, 99441.7
54, 1318564, 125702, 100, 99441.7
55, 1318651, 125702, 100, 99441.7
56, 1318785, 125702, 100, 99441.7
57, 1318858, 125702, 100, 99441.7
58, 1318941, 125702, 100, 99441.7
59, 1319013, 125702, 100, 99441.7
60, 1319084, 125702, 100, 99441.7
61, 1319154, 125702, 100, 99441.7
62, 1319231, 125702, 100, 99441.7
63, 1319312, 125702, 100, 99441.7
64, 1319397, 125702, 100, 99441.7
65, 1319473, 125702, 100, 99441.7
66, 1319556, 125702, 100, 99441.7
67, 1319631, 125702, 100, 99441.7
68, 1319707, 125702, 100, 99441.7
69, 1319792, 125702, 100, 99441.7
70, 1319874, 125702, 100, 99441.7
71, 1320021, 125702, 100, 99441.7
72, 1320101, 125702, 100, 99441.7
73, 1320181, 125702, 100, 99441.7
74, 1320249, 125702, 100, 99441.7
75, 1320322, 125702, 100, 99441.7
76, 1320394, 125702, 100, 99441.7
77, 1320471, 125702, 100, 99441.7
78, 1320552, 125702, 100, 99441.7
79, 1320633, 125230, 247, 246546.8
80, 1320714, 125230, 247, 246546.8
81, 1320803, 125230, 247, 246546.8
82, 1320881, 125230, 247, 246546.8
83, 1320964, 125230, 247, 246546.8
84, 1321040, 125230, 247, 246546.8
85, 1321123, 125230, 247, 246546.8
86, 1321270, 125230, 247, 246546.8
87, 1321354, 125230, 247, 246546.8
88, 1321430, 125230, 247, 246546.8
89, 1321508, 125230, 247, 246546.8
90, 1321583, 125230, 247, 246546.8
91, 1321661, 125230, 247, 246546.8
92, 1321737, 125230, 247, 246546.8
93, 1321817, 125230, 247, 246546.8
94, 1321904, 125230, 247, 246546.8
95, 1321990, 125230, 247, 246546.8
96, 1322080, 125230, 247, 246546.8
97, 1322162, 125230, 247, 246546.8
98, 1322244, 125230, 247, 246546.8
99, 1322326, 125230, 247, 246546.8
100, 1322412, 125230, 247, 246546.8
101, 1322573, 125230, 247, 246546.8
102, 1322656, 125230, 247, 246546.8
103, 1322749, 125230, 247, 246546.8
104, 1322831, 125230, 247, 246546.8
105, 1322925, 125230, 247, 246546.8
106, 1323013, 125230, 247, 246546.8
107, 1323102, 125230, 247, 246546.8
108, 1323192, 125230, 247, 246546.8
109, 1323285, 125230, 247, 246546.8
110, 1323379, 125230, 247, 246546.8
111, 1323473, 125230, 247, 246546.8
112, 1323568, 125230, 247, 246546.8
113, 1323658, 125230, 247, 246546.8
114, 1323744, 125230, 247, 246546.8
115, 1323873, 125230, 247, 246546.8
116, 1324004, 125230, 247, 246546.8
117, 1324068, 125230, 247, 246546.8
118, 1324131, 125230, 247, 246546.8
119, 1324192, 125230, 247, 246546.8
120, 1324258, 125230, 247, 246546.8
121, 1324324, 125230, 247, 246546.8
122, 1324387, 125230, 247, 246546.8
123, 1324455, 125230, 247, 246546.8
124, 1324533, 125230, 247, 246546.8
125, 1324602, 125230, 247, 246546.8
126, 1324671, 125230, 247, 246546.8
127, 1324741, 125230, 247, 246546.8
128, 1324809, 125230, 247, 246546.8
129, 1324878, 125230, 247, 246546.8
130, 1324945, 125230, 247, 246546.8
131, 1325086, 125230, 247, 246546.8
132, 1325151, 125230, 247, 246546.8
133, 1325218, 125230, 247, 246546.8
134, 1325286, 125230, 247, 246546.8
135, 1325354, 125230, 247, 246546.8
136, 1325417, 125230, 247, 246546.8
137, 1325479, 125230, 247, 246546.8
138, 1325545, 125352, 50, 49859.68
139, 1325620, 125352, 50, 49859.68
140, 1325692, 125352, 50, 49859.68
141, 1325763, 125352, 50, 49859.68
142, 1325843, 125352, 50, 49859.68
143, 1325920, 125352, 50, 49859.68
